                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.2984,   138.7730,   137.4245,   184.0583,   137.4245,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0760,    25.0000,     0.0000,     0.0000,    44.9263,    82.0000,   477.9890,    87.5390,    90.8239,  1013.0807,     0.2359,   853.0228,    61.3576,     5.0000,     0.0000,          E,          0,    0.38507,     6.0000,     4.5528,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3073,   143.0000,   141.5686,   189.5444,   141.5686,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0706,    25.0000,     0.0000,     0.0000,    45.3184,    82.0000,   480.5499,    87.5629,    90.8918,  1021.9224,     0.2351,   854.1589,    61.4258,     5.0000,     0.0000,          E,          0,    0.39443,     6.0000,     4.4346,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3178,   148.0000,   146.4706,   196.0259,   146.4706,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0651,    25.0000,     0.0000,     0.0000,    45.9383,    82.0000,   484.9905,    87.6422,    91.0090,  1035.9019,     0.2341,   856.2082,    61.5746,     5.0000,     0.0000,          E,          0,    0.40418,     6.0000,     4.3106,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3284,   153.0000,   151.3907,   202.5238,   151.3907,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0605,    25.0000,     0.0000,     0.0000,    46.8857,    82.0000,   492.0620,    87.8583,    91.2100,  1057.2642,     0.2327,   859.6740,    61.8700,     5.0000,     0.0000,          E,          0,    0.41158,     6.0000,     4.2072,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3390,   158.0000,   156.3576,   209.0751,   156.3576,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0566,    25.0000,     0.0000,     0.0000,    48.1362,    82.0000,   501.5617,    88.1961,    91.4866,  1085.4629,     0.2310,   864.3931,    62.2968,     5.0000,     0.0000,          E,          0,    0.41685,     6.0000,     4.1208,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3496,   163.0000,   161.3245,   215.6178,   161.3245,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0533,    25.0000,     0.0000,     0.0000,    49.5578,    82.0000,   512.4332,    88.5985,    91.8037,  1117.5214,     0.2293,   869.7540,    62.7920,     5.0000,     0.0000,          E,          0,    0.42077,     6.0000,     4.0462,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3602,   168.0000,   166.2914,   222.1524,   166.2914,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0504,    25.0000,     0.0000,     0.0000,    51.0723,    82.0000,   523.8466,    89.0607,    92.1488,  1151.6732,     0.2274,   876.2188,    63.3178,     5.0000,     0.0000,          E,          0,    0.42408,     6.0000,     3.9786,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3708,   173.0000,   171.2583,   228.6768,   171.2583,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0481,    25.0000,     0.0000,     0.0000,    53.0766,    82.0000,   539.1253,    89.7001,    92.6123,  1196.8684,     0.2252,   884.8268,    64.0551,     5.0000,     0.0000,          E,          0,    0.42416,     6.0000,     3.9319,
17 000-3            , 19000.0000,     0.0000, 22000.0000,     0.3813,   178.0000,   176.2252,   235.1933,   176.2252,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0462,    25.0000,     0.0000,     0.0000,    55.3593,    82.0000,   556.5349,    90.4229,    93.1302,  1248.3442,     0.2229,   894.4686,    64.9028,     5.0000,     0.0000,          E,          0,    0.42260,     6.0000,     3.8969,
