                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.2682,   113.6458,   113.4395,   166.0800,   113.4395,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0778,    25.0000,     0.0000,     0.0000,    28.4919,    82.0000,   333.4429,    83.4030,    88.1772,   642.4888,     0.2595,   808.9808,    57.0243,     5.0000,     0.0000,          E,          0,    0.40811,     6.0000,     5.0958,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.2778,   118.0000,   117.5472,   172.0287,   117.5472,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0715,    25.0000,     0.0000,     0.0000,    28.8971,    82.0000,   337.1523,    83.6439,    88.3736,   651.6243,     0.2587,   812.0339,    57.2026,     5.0000,     0.0000,          E,          0,    0.42126,     6.0000,     4.9085,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.2888,   123.0000,   122.2642,   178.8497,   122.2642,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0653,    25.0000,     0.0000,     0.0000,    29.5628,    82.0000,   342.5514,    83.9714,    88.6321,   666.6354,     0.2569,   816.0921,    57.4898,     5.0000,     0.0000,          E,          0,    0.43453,     6.0000,     4.7199,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.2998,   128.0000,   126.9811,   185.6626,   126.9811,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0604,    25.0000,     0.0000,     0.0000,    30.5181,    82.0000,   349.6859,    84.3800,    88.9388,   688.1782,     0.2541,   821.0042,    57.8527,     5.0000,     0.0000,          E,          0,    0.44515,     6.0000,     4.5591,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3109,   133.0000,   131.7647,   192.5616,   131.7647,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0562,    25.0000,     0.0000,     0.0000,    31.4658,    82.0000,   356.5058,    84.6816,    89.2156,   709.5486,     0.2512,   825.7239,    58.2073,     5.0000,     0.0000,          E,          0,    0.45599,     6.0000,     4.4076,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3223,   138.0000,   136.6667,   199.6219,   136.6667,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0526,    25.0000,     0.0000,     0.0000,    32.6764,    82.0000,   365.3076,    85.0519,    89.5412,   736.8481,     0.2479,   831.2465,    58.7576,     5.0000,     0.0000,          E,          0,    0.46433,     6.0000,     4.2760,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3337,   143.0000,   141.5686,   206.6700,   141.5686,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0498,    25.0000,     0.0000,     0.0000,    34.2910,    82.0000,   377.4049,    85.6256,    90.0025,   773.2571,     0.2440,   839.0279,    59.5219,     5.0000,     0.0000,          E,          0,    0.46812,     6.0000,     4.1739,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3451,   148.0000,   146.4706,   213.7070,   146.4706,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0475,    25.0000,     0.0000,     0.0000,    36.1097,    82.0000,   391.1943,    86.2927,    90.5263,   814.2678,     0.2402,   847.8508,    60.3840,     5.0000,     0.0000,          E,          0,    0.46961,     6.0000,     4.0891,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3565,   153.0000,   151.3907,   220.7585,   151.3907,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0455,    25.0000,     0.0000,     0.0000,    38.0200,    82.0000,   405.6128,    87.0595,    91.0582,   857.3446,     0.2366,   857.1104,    61.2781,     5.0000,     0.0000,          E,          0,    0.47030,     6.0000,     4.0135,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3679,   158.0000,   156.3576,   227.8656,   156.3576,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0439,    25.0000,     0.0000,     0.0000,    40.1455,    82.0000,   421.8557,    87.9551,    91.6532,   905.2757,     0.2330,   867.7702,    62.2697,     5.0000,     0.0000,          E,          0,    0.46904,     6.0000,     3.9514,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3794,   163.0000,   161.3245,   234.9597,   161.3245,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0424,    25.0000,     0.0000,     0.0000,    42.5194,    82.0000,   440.4977,    88.9764,    92.3295,   958.8054,     0.2297,   880.1135,    63.3752,     5.0000,     0.0000,          E,          0,    0.46529,     6.0000,     3.9056,
312 bandymas        , 23000.0000,    10.0000, 15000.0000,     0.3908,   168.0000,   166.2914,   242.0418,   166.2914,   -30.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0412,    25.0000,     0.0000,     0.0000,    45.1184,    82.0000,   460.9034,    90.0248,    93.0604,  1017.4129,     0.2265,   893.5729,    64.5787,     5.0000,     0.0000,          E,          0,    0.46006,     6.0000,     3.8714,
