                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.2977,   135.5695,   134.2838,   184.7130,   134.2838,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0764,    25.0000,     0.0000,     0.0000,    43.3119,    82.0000,   462.4128,    88.1003,    91.3882,   976.6763,     0.2367,   862.0631,    61.9156,     5.0000,     0.0000,          E,          0,    0.43189,     6.0000,     4.1180,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3072,   140.0000,   138.6274,   190.6151,   138.6274,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0707,    25.0000,     0.0000,     0.0000,    43.7089,    82.0000,   464.9618,    88.1277,    91.4605,   985.6279,     0.2359,   863.2542,    61.9880,     5.0000,     0.0000,          E,          0,    0.44222,     6.0000,     4.0122,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3179,   145.0000,   143.5294,   197.2692,   143.5294,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0651,    25.0000,     0.0000,     0.0000,    44.3646,    82.0000,   469.7364,    88.2301,    91.5935,  1000.4136,     0.2348,   865.5914,    62.1677,     5.0000,     0.0000,          E,          0,    0.45189,     6.0000,     3.9089,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3286,   150.0000,   148.4314,   203.9138,   148.4314,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0605,    25.0000,     0.0000,     0.0000,    45.3652,    82.0000,   477.3108,    88.4839,    91.8190,  1022.9781,     0.2333,   869.5023,    62.5116,     5.0000,     0.0000,          E,          0,    0.45864,     6.0000,     3.8248,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3394,   155.0000,   153.3775,   210.6097,   153.3775,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0566,    25.0000,     0.0000,     0.0000,    46.6391,    82.0000,   487.0955,    88.8513,    92.1152,  1051.7051,     0.2316,   874.5897,    62.9794,     5.0000,     0.0000,          E,          0,    0.46317,     6.0000,     3.7547,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3503,   160.0000,   158.3444,   217.3247,   158.3444,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0532,    25.0000,     0.0000,     0.0000,    48.0109,    82.0000,   497.6681,    89.2521,    92.4338,  1082.6389,     0.2298,   880.0309,    63.4826,     5.0000,     0.0000,          E,          0,    0.46683,     6.0000,     3.6917,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3611,   165.0000,   163.3112,   224.0290,   163.3112,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0504,    25.0000,     0.0000,     0.0000,    49.5985,    82.0000,   509.7801,    89.7623,    92.8145,  1118.4390,     0.2279,   887.2226,    64.0783,     5.0000,     0.0000,          E,          0,    0.46889,     6.0000,     3.6388,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3719,   170.0000,   168.2781,   230.7239,   168.2781,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0481,    25.0000,     0.0000,     0.0000,    51.6410,    82.0000,   525.5316,    90.4455,    93.3077,  1164.4969,     0.2256,   896.4500,    64.8804,     5.0000,     0.0000,          E,          0,    0.46757,     6.0000,     3.6038,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3826,   175.0000,   173.2450,   237.4098,   173.2450,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0461,    25.0000,     0.0000,     0.0000,    53.9342,    82.0000,   543.1920,    91.2062,    93.8514,  1216.2067,     0.2233,   906.6651,    65.7855,     5.0000,     0.0000,          E,          0,    0.46468,     6.0000,     3.5783,
Ilgas 17            , 20000.0000,     5.0000, 21000.0000,     0.3934,   180.0000,   178.2119,   244.0846,   178.2119,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0445,    25.0000,     0.0000,     0.0000,    56.3814,    82.0000,   562.2029,    91.9572,    94.4426,  1271.3910,     0.2211,   918.2606,    66.7445,     5.0000,     0.0000,          E,          0,    0.46084,     6.0000,     3.5595,
