                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.2677,   132.0882,   130.8708,   168.6480,   130.8708,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0762,    25.0000,     0.0000,     0.0000,    37.6422,    82.0000,   440.7148,    84.2624,    89.2976,   848.8256,     0.2596,   825.4727,    57.0393,     5.0000,     0.0000,          E,          0,    0.38267,     6.0000,     4.7478,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.2774,   137.0000,   135.6863,   174.8015,   135.6863,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0697,    25.0000,     0.0000,     0.0000,    38.1297,    82.0000,   445.3347,    84.5011,    89.4940,   859.8197,     0.2590,   828.5613,    57.1250,     5.0000,     0.0000,          E,          0,    0.39252,     6.0000,     4.6071,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.2874,   142.0000,   140.5882,   181.0595,   140.5882,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0641,    25.0000,     0.0000,     0.0000,    38.8655,    82.0000,   451.4308,    84.7878,    89.7244,   876.4112,     0.2575,   832.2068,    57.2814,     5.0000,     0.0000,          E,          0,    0.40108,     6.0000,     4.4816,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.2973,   147.0000,   145.4902,   187.3119,   145.4902,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0596,    25.0000,     0.0000,     0.0000,    39.8525,    82.0000,   458.9531,    85.1116,    89.9807,   898.6666,     0.2554,   836.2802,    57.5090,     5.0000,     0.0000,          E,          0,    0.40813,     6.0000,     4.3721,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3072,   152.0000,   150.3973,   193.5665,   150.3973,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0557,    25.0000,     0.0000,     0.0000,    40.8721,    82.0000,   466.2770,    85.3691,    90.2179,   921.6595,     0.2530,   840.2744,    57.7407,     5.0000,     0.0000,          E,          0,    0.41513,     6.0000,     4.2687,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3172,   157.0000,   155.3642,   199.8893,   155.3642,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0523,    25.0000,     0.0000,     0.0000,    42.1469,    82.0000,   475.4963,    85.6719,    90.4904,   950.4068,     0.2502,   845.0155,    58.0634,     5.0000,     0.0000,          E,          0,    0.42038,     6.0000,     4.1798,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3273,   162.0000,   160.3311,   206.2059,   160.3311,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0496,    25.0000,     0.0000,     0.0000,    43.7858,    82.0000,   487.4752,    86.0483,    90.8123,   987.3629,     0.2469,   850.5829,    58.6760,     5.0000,     0.0000,          E,          0,    0.42301,     6.0000,     4.1098,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3373,   167.0000,   165.2980,   212.5163,   165.2980,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0473,    25.0000,     0.0000,     0.0000,    45.7765,    82.0000,   502.2234,    86.5146,    91.1943,  1032.2531,     0.2433,   857.1658,    59.4364,     5.0000,     0.0000,          E,          0,    0.42315,     6.0000,     4.0572,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3473,   172.0000,   170.2649,   218.8188,   170.2649,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0454,    25.0000,     0.0000,     0.0000,    47.7985,    82.0000,   517.5317,    87.0489,    91.6218,  1077.8474,     0.2401,   864.5431,    60.1993,     5.0000,     0.0000,          E,          0,    0.42281,     6.0000,     4.0103,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3573,   177.0000,   175.2318,   225.1157,   175.2318,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0438,    25.0000,     0.0000,     0.0000,    50.0929,    82.0000,   534.8607,    87.6802,    92.0926,  1129.5858,     0.2368,   872.7193,    61.0713,     5.0000,     0.0000,          E,          0,    0.42089,     6.0000,     3.9751,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3673,   182.0000,   180.1991,   231.4058,   180.1991,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0424,    25.0000,     0.0000,     0.0000,    52.6149,    82.0000,   553.8697,    88.4327,    92.6042,  1186.4567,     0.2334,   881.9244,    62.0307,     5.0000,     0.0000,          E,          0,    0.41780,     6.0000,     3.9492,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3772,   187.0000,   185.1742,   237.6983,   185.1742,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0412,    25.0000,     0.0000,     0.0000,    55.3775,    82.0000,   575.1948,    89.2936,    93.1738,  1248.7540,     0.2303,   892.4200,    63.0813,     5.0000,     0.0000,          E,          0,    0.41325,     6.0000,     3.9344,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3872,   192.0000,   190.1493,   243.9827,   190.1493,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0402,    25.0000,     0.0000,     0.0000,    58.3633,    82.0000,   598.6445,    90.2314,    93.7932,  1316.0836,     0.2274,   904.0394,    64.2140,     5.0000,     0.0000,          E,          0,    0.40756,     6.0000,     3.9291,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.3972,   197.0000,   195.1244,   250.2610,   195.1244,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0394,    25.0000,     0.0000,     0.0000,    61.5483,    82.0000,   623.6494,    91.1810,    94.4454,  1387.9044,     0.2247,   916.3752,    65.4165,     5.0000,     0.0000,          E,          0,    0.40128,     6.0000,     3.9305,
Trumpas 26          , 16000.0000,     5.0000, 20000.0000,     0.4071,   202.0000,   200.0995,   256.5305,   200.0995,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0386,    25.0000,     0.0000,     0.0000,    64.9359,    82.0000,   649.5679,    92.1699,    95.1067,  1464.2939,     0.2218,   928.3447,    66.6948,     5.0000,     0.0000,          E,          0,    0.39492,     6.0000,     3.9355,
