                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3030,   132.3299,   131.1077,   180.8367,   131.1077,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0762,    25.0000,     0.0000,     0.0000,    40.0961,    82.0000,   420.1404,    85.6648,    88.4880,   904.1614,     0.2323,   816.9287,    60.4781,     5.0000,     0.0000,          E,          0,    0.46612,     6.0000,     3.9836,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3134,   137.0000,   135.6863,   187.0678,   135.6863,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0700,    25.0000,     0.0000,     0.0000,    40.6207,    82.0000,   423.8069,    85.7373,    88.5987,   915.9901,     0.2313,   818.7355,    60.6012,     5.0000,     0.0000,          E,          0,    0.47679,     6.0000,     3.8789,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3246,   142.0000,   140.5882,   193.7280,   140.5882,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0644,    25.0000,     0.0000,     0.0000,    41.2259,    82.0000,   428.0836,    85.8323,    88.7286,   929.6385,     0.2302,   820.8445,    60.7473,     5.0000,     0.0000,          E,          0,    0.48759,     6.0000,     3.7756,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3358,   147.0000,   145.4902,   200.3797,   145.4902,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0598,    25.0000,     0.0000,     0.0000,    42.1530,    82.0000,   434.8625,    86.0679,    88.9525,   950.5438,     0.2287,   824.4816,    61.0443,     5.0000,     0.0000,          E,          0,    0.49528,     6.0000,     3.6905,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3469,   152.0000,   150.3973,   207.0290,   150.3973,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0559,    25.0000,     0.0000,     0.0000,    43.3106,    82.0000,   443.4273,    86.3950,    89.2414,   976.6469,     0.2270,   829.1527,    61.4419,     5.0000,     0.0000,          E,          0,    0.50071,     6.0000,     3.6186,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3582,   157.0000,   155.3642,   213.7480,   155.3642,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0526,    25.0000,     0.0000,     0.0000,    44.7148,    82.0000,   453.7452,    86.8656,    89.6038,  1008.3115,     0.2250,   835.5273,    61.9449,     5.0000,     0.0000,          E,          0,    0.50413,     6.0000,     3.5574,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3694,   162.0000,   160.3311,   220.4554,   160.3311,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0498,    25.0000,     0.0000,     0.0000,    46.2562,    82.0000,   465.0723,    87.3952,    89.9972,  1043.0693,     0.2229,   842.6725,    62.4999,     5.0000,     0.0000,          E,          0,    0.50628,     6.0000,     3.5042,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3806,   167.0000,   165.2980,   227.1530,   165.2980,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0475,    25.0000,     0.0000,     0.0000,    48.1674,    82.0000,   479.2118,    88.0809,    90.4923,  1086.1681,     0.2206,   851.5795,    63.2163,     5.0000,     0.0000,          E,          0,    0.50532,     6.0000,     3.4656,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3918,   172.0000,   170.2649,   233.8372,   170.2649,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0456,    25.0000,     0.0000,     0.0000,    50.3252,    82.0000,   495.2666,    88.7251,    91.0600,  1134.8246,     0.2182,   862.5615,    64.0314,     5.0000,     0.0000,          E,          0,    0.50243,     6.0000,     3.4371,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4030,   177.0000,   175.2318,   240.5113,   175.2318,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0440,    25.0000,     0.0000,     0.0000,    52.7935,    82.0000,   514.2410,    89.4847,    91.7174,  1190.4857,     0.2160,   875.0833,    64.9721,     5.0000,     0.0000,          E,          0,    0.49687,     6.0000,     3.4215,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4142,   182.0000,   180.1991,   247.1744,   180.1991,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0425,    25.0000,     0.0000,     0.0000,    55.3347,    82.0000,   535.1460,    90.2843,    92.3922,  1247.7896,     0.2144,   887.2147,    65.9235,     5.0000,     0.0000,          E,          0,    0.48991,     6.0000,     3.4143,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4253,   187.0000,   185.1742,   253.8353,   185.1742,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0413,    25.0000,     0.0000,     0.0000,    58.1758,    82.0000,   558.5681,    91.0747,    93.1396,  1311.8546,     0.2129,   900.9026,    66.9893,     5.0000,     0.0000,          E,          0,    0.48129,     6.0000,     3.4168,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4365,   192.0000,   190.1493,   260.4832,   190.1493,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0403,    25.0000,     0.0000,     0.0000,    61.3764,    82.0000,   589.3250,    92.0614,    94.0609,  1384.0288,     0.2129,   917.8892,    68.1934,     5.0000,     0.0000,          E,          0,    0.46746,     6.0000,     3.4460,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4476,   197.0000,   195.1244,   267.1194,   195.1244,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0395,    25.0000,     0.0000,     0.0000,    64.8554,    82.0000,   623.7501,    93.2345,    95.0745,  1462.4800,     0.2133,   936.7064,    70.0985,     5.0000,     0.0000,          E,          0,    0.45230,     6.0000,     3.4870,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4587,   202.0000,   200.0995,   273.7425,   200.0995,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0387,    25.0000,     0.0000,     0.0000,    68.4177,    82.0000,   661.5683,    94.6459,    96.3108,  1542.8088,     0.2144,   959.9604,    72.9962,     5.0000,     0.0000,          E,          0,    0.43645,     6.0000,     3.5380,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4587,   202.0005,   200.1000,   273.7436,   200.1000,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0387,    25.0000,     0.0000,     0.0000,    68.4184,    82.0000,   661.5753,    94.6462,    96.3110,  1542.8235,     0.2144,   959.9650,    72.9967,     5.0000,     0.0000,          E,          0,    0.43645,     6.0000,     3.5380,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3689,   161.7688,   160.1014,   220.1460,     1.0000,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0499,    25.0000,     0.0000,     0.0000,    46.1731,    82.0000,   464.4594,    87.3659,    89.9759,  1041.1953,     0.2230,   842.2891,    62.4688,     5.0000,     0.0000,          E,          0,    0.50628,     6.0000,     3.5062,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.3948,   173.3521,   171.6080,   235.6436,     0.9900,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0451,    25.0000,     0.0000,     0.0000,    50.9744,    82.0000,   500.0707,    88.9173,    91.2312,  1149.4648,     0.2175,   865.8936,    64.2794,     5.0000,     0.0000,          E,          0,    0.50122,     6.0000,     3.4314,
X bandymas          , 22000.0000,   -10.0000, 20000.0000,     0.4587,   202.0004,   200.0999,   273.7431,   999.0000,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0387,    25.0000,     0.0000,     0.0000,    68.4181,    82.0000,   661.5723,    94.6460,    96.3109,  1542.8169,     0.2144,   959.9628,    72.9964,     5.0000,     0.0000,          E,          0,    0.43645,     6.0000,     3.5380,
